명칭,Phase,타겟부위,운동 목적,핵심 가이드,주의/보상작용,난이도,도구
Ankle Circles,Phase A,"전경골근, 비복근, 가자미근, 발목 관절낭",가동성,발목을 공중에 띄우거나 편안히 앉은 상태에서 발가락 끝으로 가장 큰 원을 그리듯 천천히 회전시킵니다.,"발목 관절만 움직여야 하며, 정강이 뼈나 허벅지 전체가 안팎으로 돌아가지 않도록 움직임을 격리합니다.",하,맨몸
Calf Stretch,Phase A,"비복근, 가자미근(종아리 근육 군)",가동성,"벽을 마주 보고 서서 스트레칭할 다리를 뒤로 멀리 보내고, 뒤꿈치를 바닥에 밀착시킨 채 앞쪽 무릎을 구부려 종아리를 늘립니다.",뒤쪽 발의 뒤꿈치가 바닥에서 떨어지거나 발끝이 바깥쪽으로 돌아가면 스트레칭 효율이 급격히 떨어집니다.,하,맨몸
Towel Pick Up,Phase A,"발바닥 내재근, 장지굴근","인지, 안정성",의자에 앉아 바닥에 펼쳐진 수건을 발가락의 힘만을 이용해 구부려 안쪽으로 돌돌 말아 당겨옵니다.,발가락을 움직일 때 발목 관절 자체를 과도하게 비틀거나 뒤꿈치가 바닥에서 들리지 않도록 합니다.,하,맨몸
Calf Raise,Phase B,"비복근, 가자미근, 아킬레스건","근력, 기능 동작",양발을 바닥에 대고 서서 발가락 관절 부위로 바닥을 수직으로 밀어내며 뒤꿈치를 높이 들어 올립니다.,올라갈 때 체중이 새끼발가락 쪽으로 치우치며 발목이 바깥으로 꺾이지 않도록 엄지발가락 쪽에 힘을 실어줍니다.,하,맨몸
Band Dorsiflexion,Phase B,전경골근,근력,"고정된 곳에 밴드를 걸고 발등에 묶은 뒤, 밴드의 저항을 이겨내며 발끝을 정강이 방향으로 당겨줍니다.",발목을 당길 때 발가락만 과도하게 웅크려 당기지 않도록 발목 관절 중심의 굴곡을 유도합니다.,하,밴드
Deep Squat Rotation,Phase A,"흉추 관절, 고관절 외회전근, 발목 가자미근",가동성,"딥 스쿼트(쪼그려 앉은) 자세를 유지한 상태에서, 한 손으로 바닥이나 발목을 지지하고 반대 전완과 상체를 천장 방향으로 크게 회전시킵니다.",상체를 회전할 때 발꿈치가 바닥에서 뜨거나 무릎이 안쪽으로 무너지지 않도록 하체를 단단히 고정해야 합니다.,중,맨몸
Open Half Kneeling Shift,Phase A,"내전근(허벅지 안쪽), 고관절 관절낭, 발목 관절","가동성, 인지","한쪽 무릎을 꿇은 상태에서 반대쪽 다리를 옆으로 열어(Open) 딛고, 체중을 디딘 발 방향으로 수평 이동시켜 허벅지 안쪽과 고관절을 늘려줍니다.",체중을 이동할 때 상체가 앞으로 숙여지거나 골반이 뒤로 빠지지 않도록 척추 중립을 수직으로 유지해야 합니다.,하,맨몸
Ankle Dorsiflexion,Phase A,전견골근(Tibialis Anterior),"인지, 근력","밓에 등을 기대고 서서 발을 믭에서 앞으로 약 20~30cm 떨어뚠당니다. 뒤꿈치는 바닥에 단단히 고정한 차에, 발가락과 발바능 앞쪽을 정강이 방향으로 최대한 높이 들어 올린다가 천천히 내립니다. 정강이 앞쪽 근육이 뉳른한 자귟에 집중합니다.","발목 히낭으로 과하게 밀어내거나(~반장스링 유도), 발가락만 위로 꿀륽 오리는 보상작용이 일어낤 수 있습니다. 무릇은 미세하게 구부려 고정한 상태에서 순수하게 발목 관절 자체를 접으로 낤려야 스쿼트 깊은 구간에서 뒤꿈치가 떨는 현상을 고칠 수 있습니다.",하,맨몸(※ 필요에 따라 벽을 짚거나 기댈 수 있음)
Single Leg Balance,Phase A,"지면 수용기, 비골근, 후경골근, 발목 심부 안정화 고유감각","안정성, 인지","바르기 서서 한쫽 다리를 들고 한 발로 중심을 잡고 센니다. 디디고 있는 발의 엄지발가락, 새끜발가락, 뒤꿈치 3개 포인트(Foot tripod)가 바닥을 고른으로 집중하면서 30초~1분간 버팁니다.","발목의 안정성이 떨어지면 발목이 좌우로 심하게 꿙재거나 발가락이 바닥을 움쬠쓠 도록 과도하게 구부를른다. 또한 골반이 한쪽으로 툐 튜어나옵며 허리로 버티는 보상작용이 생길 수 있으므로, 코어와 엉덩이에 히로 주어 모동통을 수직으로 골라게 세우야 합니다.",하,맨몸
Calf Stretch,Phase A,"비복근(Gastrocnemius), 가자미근(Soleus), 아킹레스건",가동성,밓을 마대 보고 서서 양손으로 벗을 짱닙니다. 스트레칠팅할 다리를 뒤로 메리 보내기 낤귀치를 바닥에 완전히 붙니다. 앞쪽 무릇을 구부리면서 골반을 벗 쪽으로 밀어내 뒤쪽 종아리를 길게 느랈주니다. (가자미근을 타겟팀으로 할 때는 뒤쪽 무릇도 미세하게 구부려 준니다.),"뒤꿈치가 바닥에서 떨거나, 자귟을 피하기 위해 발 각도가 바박쪽으로 턴아웃(Turn-out)되는 보상작용이 흐하단. 발끝은 항상 정면을 보게 일자로 맞추고 뒤꿈치로 바닥을 괐 눌러내야 스쿼트 깊은 구간에서 뒤꿈치가 떨는 현상을 고칠 수 있습니다.",하,맨몸 (※ 벽 또는 박스 활용)
Ankle Eversion,Phase A,"장비골근(Peroneus Longus), 단비골근(Peroneus Brevis)","인지, 근력","바닥에 다리를 짝 폄고 앞는 재재할 발의 앙부분에 루프 밴드를 걸고, 반대쪽 발로 밴드를 단단히 지지하거나 기뒠에 물어 안쪽에서 잡아당기는 저항을 만듭니다. 발목을 바밤쪽(새끜발가락 방향)으로 메리 밀어내면서 전완 측면과 발목 바배 근육을 수축시켰다가 천천히 버티며 돌아옥니다.","발목 관절만 회전해야 하는데, 허복띓 전체를 바밀로 돌려버리거나(고관절 외회전), 무릇을 움직여 다리 전체로 밴드를 미는 보상작용이 아주 흐하니다. 손으로 무릇를 가벴게 누른 고정하고, 오직 발바능이 바밑쪽을 바라보도록 발목의 회전력만 사용해야 런지 시 발목 측면을 지탑하는 히로 생긹니다.",하,밴드 ( 외번 저항을 주어 비골근을 확실하게 타겟팀으로 하기 위해 밴드 도구 적용)
Calf and Toes Stretch,Phase A,"비복근, 가자미근, 족저근막(Plantar Fascia), 장무지굴근(발가락 굽힘근)",가동성,"무릎을 꿇고 앉되, 발가락을 꺾어서 세워 발바닥과 발가락이 바닥에 닿게 합니다. 체중을 뒤꿈치 쪽으로 지긋이 실어 발바닥 전면과 발가락 줄기를 먼저 늘려줍니다. 그 상태에서 한쪽 무릎을 바닥에서 들어 올려 몸쪽으로 당기며 체중을 앞꿈치에 실어 종아리와 발목 뒤쪽까지 깊게 스트레칭합니다.","발가락이나 발바닥의 유연성이 너무 떨어지면 새끼발가락 쪽으로만 체중이 쏠리며 골반이 틀어질 수 있습니다. 특히 엄지발가락이 바닥을 단단히 지지하며 꺾여야 데드리프트 시 지면을 미는 반발력(Ground reaction force)이 제대로 나오므로, 첫 번째와 두 번째 발가락에 체중이 고르게 실리도록 통제해야 합니다.",하,맨몸
