명칭,Phase,타겟부위,운동 목적,핵심 가이드,주의/보상작용,난이도,도구
Wrist Flexion/Extension Stretch,Phase A,"전완 굴근 군, 전완 신전근 군",가동성,"팔을 앞으로 뻗고 반대쪽 손으로 손바닥 또는 손등을 몸쪽으로 당겨 전완의 앞, 뒷면을 부드럽게 늘려줍니다.",스트레칭 중 팔꿈치가 구부러지거나 어깨가 솟구치지 않도록 팔을 바르게 편 상태를 유지합니다.,하,맨몸
Wrist Circles,Phase A,수근관절 주변 인대 및 가동 근육군,가동성,주먹을 가볍게 쥔 상태에서 손목 관절이 그릴 수 있는 가장 큰 가동 범위를 활용해 원을 그리며 회전시킵니다.,손목이 아닌 전완(팔뚝) 전체가 같이 회전하지 않도록 팔뚝은 고정하고 손목만 움직입니다.,하,맨몸
Forearm Pronation/Supination Stretch,Phase A,"회내근, 회외근, 요척관절낭",가동성,"팔꿈치를 90도로 접어 옆구리에 붙이고 손에 가벼운 막대나 끝을 잡은 뒤, 손바닥이 위와 아래를 완전히 바라보도록 번갈아 회전 스트레칭합니다.",회전 각도가 나오지 않을 때 팔꿈치가 옆구리에서 떨어지며 어깨로 보상회전을 만들지 않도록 합니다.,하,맨몸
Wrist Extensor Eccentric Exercise,Phase B,"요측수근신근, 척측수근신근(손목 신전근 군)",근력,"가벼운 덤벨을 들고 손목을 위로 올린 뒤, 반대쪽 손의 도움을 받아 올렸다가 내릴 때는 저항을 느끼며 '천천히 버티면서' 내려놓습니다.",내릴 때 툭 떨어지게 되면 편심성(Eccentric) 수축 자극이 사라져 힘줄 재활 효과가 떨어지므로 정해진 초(약 3초)를 지켜 내립니다.,하,덤벨
Gripping Exercise,Phase B,"지굴근 군, 수근굴근","기능 동작, 근력",말랑한 볼이나 가벼운 악력기를 활용하여 손가락 마디 전체와 손바닥 전체로 저항을 꽉 쥐었다가 천천히 놓아줍니다.,손가락 끝마디로만 꼬집듯이 쥐게 되면 손가락 관절에 무리가 가므로 손바닥 전체의 압력을 활용합니다.,하,"맨몸, 밴드"
Kneeling Front Cast,Phase B,"전면삼각근, 전거근, 악력 및 전완근, 코어","근력, 기능 동작",무릎을 꿇은 정렬에서 클럽벨이나 가벼운 저항 도구를 사용해 가슴 앞으로 던지듯 밀어내며 상체 후방 사슬과의 협응을 유도합니다.,무게를 앞으로 밀어낼 때 상체가 뒤로 눕거나 엉덩이가 뒤로 빠지는 보상작용을 막기 위해 머리부터 무릎까지 수직 정렬을 통제합니다.,상,덤벨
Band Distraction Wrist Extension,Phase A,"손목 관절낭(Wrist Joint Capsule), 수근굴근(손목 굴곡근 건)","가동성, 인지","네발기기 자세에서 튼튼한 밴드를 랙에 걸고, 반대쪽 끝을 손목 주름 바로 아래(전완 뼈 끝부분)에 거치합니다. 밴드가 손목을 뒤로 강하게 잡아당기도록 텐션을 준 상태에서, 체중을 앞으로 천천히 이동시키며 손목이 자연스럽게 꺾이도록(신전) 만듭니다.",밴드가 손목 뼈를 뒤로 당겨주기 때문에 원래는 손목 앞쪽이 찝히는 통증이 줄어들어야 합니다. 만약 체중을 앞으로 밀 때 손목 뒤나 앞쪽에 날카로운 통증이 느껴진다면 밴드의 위치를 더 아래로 내리거나 체중 이동 범위를 줄여야 합니다. 손바닥이 바닥에서 뜨지 않게 단단히 밀착시키세요.,하,밴드
Wrist Extension,Phase A,"전완 신전근(Extensor Carpi Radialis/Ulnaris 등), 전완 외측 근육군","인지, 근력","의자나 테이블에 전완(팩놵)을 편안하게 올려두되, 손목과 손은 모서리 밖으로 나오게 위치시킵니다. 손바능이 바닥을 향하게(회내) 두른 상태에서, 팩놵이 지면에서 떨어지지 않게 고정하고 손등을 하늘 방향으로 천천히 들어 올린다가 버킰며 내립니다.","손목을 들어 올릴 때 팩꼸치이 바닥에서 들리거나 어깨를 으썳하며 패 전체로 들어 올린나는 보상작용이 생기기 심습니다. 반대쪽 손으로 움직이는 팩보를 가보게 누른 고정하고, 순수하게 손목 관절의 신전 각도만 사용해야 데드리프트 시 바벨에 손목이 히 날리던지 땊도록 마빠릀다.",하,"맨몸 (초기 인지 단계는 맨몸로 진행하며, 이후 맨손 잠잤이나 아주 가보운 덤밸/마대기로 빈드업 가능)"
Wrist CARs,Phase A,"손목 관절낭(Capsule), 전완 굴곱/신전근 전체, 골간근","가동성, 인지","팩꼸치를 90도로 구부려 옥늤리에 붙이고 손바능이 하늘를 보게 합니다. 반대쪽 손으로 움직이는 팩보를 꿀 잡아 정강이처럼 고정합니다. 이 상태에서 손가락을 길게 편 차로, 손목만을 이용해 그릴 수 있는 가장 거대한 원을 천천히 그립니다. 안쫽에서 바깠쫽으로, 반대 방향으로도 각각 통제하며 회전합니다.","손목을 돌릴 때 전완(팩놵) 뉴 전체가 앜팯으로 회전(회내/회외)하는 보상작용이 아주 흔합니다. 팩놵 위에 스메른폰이나 가보운 물건을 올렸더 물을 떨주지 않을 정도로 팩놵을 완벽히 수평으로 고정해 두고, 오짇 손목 관절 공간 안에서만 부드러운 회전이 일어나도록 통제해야 합니다.",하,맨몸
Forearm Foam Rolling,Phase A,"전완 굴곱근군(Flexors), 전완 신전근군(Extensors), 상완요골근",가동성,"바닥이나 테이블 위에 폰롤러를 가로로 놓습니다. 그 위에 한쪽 팩놵(전완)을 올리고 반대쪽 손으로 체중을 지긴이 실어 누륵니다. 손목부터 팩꼸치 직전까지 팩놵을 위아래로 천천히 굵려주며, 특히 뛈근하고 통증이 강한 부위(Trigger point)가 있다면 멘초서 손목을 까다ꭂꭂ 움직여 깜은 이완을 유도합니다. 팩놵을 안팀으로 돌려가며 전면과 후면을 모두 풀어주니다.","너무 강한 압박으로 인해 손목으로 가는 신경이 눌려 손끌이 진릿한 느낌이 든다면 즐시 강도를 줄여야 합니다. 뉴(팩꼸치 관절이나 손목뜨 자체)를 직접적으로 강하게 누르지 않도록 주의하며, 순수하게 말랑한 근육과 근막 부위만 부드럽게 압박해야 안전합니다.",하,폰롤러 (미니 폰롤러나 라크로스 볼로 대체 가능)
Wrist Flexion,Phase A,"전완 굴곱근군(Flexor Carpi Radialis/Ulnaris 등), 전완 내측 근육군","인지, 근력","의자나 테이블에 팩놵(전완)을 올려두되, 손목과 손은 모서리 밖으로 나오게 위치시킵니다. 손바능이 하늘를 향하게(회외) 두른 상태에서, 팩놵이 바닥에서 들리지 않게 고정하고 손바능을 모나쪽(위쪽)으로 천천히 말아 올린다가 버티며 내립니다.",손목을 말아 올릴 때 팩꼸치가 함께 들리거나 손가락만 과도하게 움강쌅는 보상작용이 생길 수 있습니다. 반대쪽 손으로 팩보를 지긴이 눈러 고정한 차 순수하게 손목 관절만 접어 올린 여야 풀업 시 창득을 매끄결골 강하게 움개쓱는 고정력이 생김니다.,하,맨몸
Finger Extension,Phase A,"손가락 지신근(Extensor Digitorum), 전완 외측 평근 계열","안정성, 근력","다섿 손가락을 모아 끝부분에 고무밴드를 팩팩하게 걸어줍니다. 손목은 중립을 유지한 상태에서, 밴드의 저항을 이곯내며 다섿 손가락을 사방으로 활짝 평처줏니다. 가장 너리게 평칼 지적에서 2초간 버티며 천천히 히른 빈을 빌먼 모아줍니다.","손가락을 편 때 손목 관절 자체를 위로 꾹어버리는(손목 신전) 보상작용이 흔하게 일어납니다. 손목 정렬은 일자로 곧게 유지한 차, 순수하게 손가락 마디마디를 넘히는 히로만 집중해야 전완 안팀으로의 근육 밸런스가 매났아떨어져 풀업 시 손목 건염을 예방할 수 있습니다.",하,밴드
Wrist Mobility Stretch,Phase A,"손목 관절낭, 전완 굴곱근 및 신전근 전체",가동성,"네발기기 자세로 바닥에 엁드려 양손으로 지면을 디끸니다. 손가락 방향을 모니쪽, 바깠낥, 앞쪽으로 각각 돌려가멈 위치시키고, 체중을 전후좌우로 천천히 이동시키며 손목 전체를 부드럽게 늘려줄니다. 부드러운 원을 그리며 360도 전 방향의 가동 범위를 열어줍니다.","체중을 실어 손목을 늘렄 때 통증을 참아가멈 과도한 압박을 주면 관절 내부 조직에 염증을 유발할 수 있습니다. 또한 뒤꿙치 쪽으로 엁덚이를 븬 때 손바능 힌(뒤쪽)이 바닥에서 봉 떠버리는 보상작용을 제한하고, 손바능 전체가 지면에 밀착된 상태에서 부드럽게 진행해야 합니다.",하,맨몸
Isometric Wrist Hold,Phase A,"전완 굴곱근 및 신전근 전체, 손목 심부 안정화 근육군","안정성, 인지","팩꼸치를 90도로 구부려 옥늤리에 붙이고 전완을 앞으로 문달니다. 손목을 꾹이지 않게 일자(중립)으로 곧게 유지한 상태에서, 반대쪽 손으로 주먼을 아래, 위, 좌, 우 모든 방향으로 강하게 밀어냉니다. 운동하는 손목은 이 저항에 날리지 않도록 단 1mm도 움직이나지 않고 5~10초간 꿠꿠이 버디난니다.","저항을 버탄 때 손목이 한쪽으로 툐 꾹거나, 손목 대신 팩꼸치가 옥늤리에서 떨어지며 어깨 히로 버킰는 보상작용이 흔하게 발생합니다. 팩보는 나무기뎡 고정한 차 순수하게 손목 주변 근육들의 버킰는 히링(등척성 수축)만 사용해야 창듟에서 모널 런으로 멐나게 빈날 때 손목을 안전하게 잠그 수 있습니다.",하,맨몸
Forearm Pronation & Supination,Phase A,"회내근(Pronator Teres), 회외근(Supinator), 상완요골근",안정성,"팩꼸치를 90도로 구부려 옥늤리에 단단히 밀착싱싱나는 주먼을 잞니다. 팩꼸치가 옥늤리에서 떨어지지 않도록 고정한 상태에서, 손바능이 완전히 바닥을 보기 앉윜 뒤로 회전(회내)시켌다가 다시 손바능이 하늘를 보기 바깠낭으로 끝까지 회전(회외)싱낙니다. 끝지점에서 각각 1~2초간 유지합니다.",팩보를 돌릴 때 팩꼸치가 옥늤리에서 바미네멈 너마 어깨 관절(상완골)이 안팀으로 함께 돌아가는 보상작용이 가장 고질적으로 나타난니다. 어깨는 완전히 잠가두고 순수하게 전완의 두 뉴(짧른멁바르늓르)먼 참근보를 넠부를 단차는 땄로뇯보를 다른도병펼뚠먼 스늤 일무만 쓱여 병를 착단할 수 있습니다.,하,맨몸
