명칭,Phase,타겟부위,운동 목적,핵심 가이드,주의/보상작용,난이도,도구
Clamshell,Phase A,"중둔근, 고관절 외회전근","안정성, 인지",옆으로 누워 무릎을 구부린 상태에서 뒤꿈치를 붙이고 위쪽 무릎을 조개껍데기처럼 천천히 벌려줍니다.,무릎을 열 때 골반이나 몸통이 뒤로 함께 돌아가지 않도록 고정해야 합니다.,하,맨몸
Straight Leg Raise (SLR),Phase A,"대퇴사두근, 장요근","근력, 인지","바닥에 바르게 누워 한쪽 무릎은 구부리고, 반대쪽 다리는 무릎을 곧게 편 상태로 반대편 무릎 높이까지 천천히 들어 올립니다.",다리를 올릴 때 무릎이 구부러지거나 허리가 바닥에서 과하게 뜨지 않도록 주의합니다.,하,맨몸
Quad Settings,Phase A,대퇴사두근(특히 내측광근),"인지, 안정성","바닥에 다리를 펴고 앉아 무릎 뒤쪽에 수건을 대고, 무릎으로 수건을 아래로 강하게 누르며 허벅지 앞쪽 근육을 수축시킵니다.",힘을 줄 때 발목을 과도하게 당기거나 엉덩이가 바닥에서 들리지 않도록 허벅지 근육 자체의 수축에 집중합니다.,하,맨몸
Glute Bridge,Phase B,"대둔근, 햄스트링, 척추기립근","기능 동작, 근력","바르게 누워 무릎을 세운 뒤, 발뒤꿈치로 바닥을 밀어내며 골반과 척추가 일직선이 될 때까지 엉덩이를 들어 올립니다.",엉덩이를 너무 높이 들어 올리면 허리가 과도하게 꺾여 요추 통증을 유발하므로 둔근의 힘으로만 버팁니다.,하,맨몸
Single Leg Balance,Phase B,"둔근, 발목 주변 근육, 고유수용성 감각기","안정성, 인지",한쪽 다리로 중심을 잡고 서서 전신의 정렬을 유지하며 균형을 잡는 훈련을 진행합니다.,"지지하는 다리의 골반이 옆으로 빠지거나(트렌델렌부르크 징후), 발가락을 과도하게 구부려 바닥을 쥐어짜지 않도록 합니다.",중,맨몸
Mini Squat,Phase B,"대퇴사두근, 대둔근","기능 동작, 근력",무릎 관절의 가동 범위를 약 30~45도 내외로 제한하여 통증이 없는 범위에서 가볍게 앉았다가 일어납니다.,"앉을 때 무릎이 발끝보다 과도하게 앞으로 나가거나, 무릎이 안쪽으로 모이지 않도록 정렬을 유지합니다.",하,맨몸
Terminal Knee Extension (TKE),Phase B,대퇴사두근(내측광근),"근력, 안정성","무릎 뒤편에 밴드를 걸고 서서, 약 20도 구부러진 무릎을 저항을 이겨내며 끝까지 곧게 펴내어 허벅지 안쪽을 수축시킵니다.",무릎을 펼 때 골반을 뒤로 빼면서 몸통을 이용해 저항을 당기지 않도록 고정합니다.,하,"맨몸, 밴드"
Band Side Step,Phase B,"중둔근, 대퇴근막장근","근력, 안정성",발목이나 무릎 위에 밴드를 착용하고 무릎을 살짝 구부린 상태에서 옆으로 일정 보폭씩 이동합니다.,이동할 때 상체가 옆으로 심하게 흔들리거나 발끝이 안쪽 또는 바깥쪽으로 돌아가지 않도록 수평을 유지합니다.,중,밴드
Tensor Fasciae Latae (TFL) Stretch,Phase B,"대퇴근막장근, 장경인대",가동성,"스트레칭하려는 다리를 반대쪽 다리 뒤로 교차하여 딛고, 골반을 옆으로 밀어내며 골반 바깥쪽 라인을 늘려줍니다.",몸통이 앞이나 뒤로 회전하면 타겟 근육이 정확히 늘어나지 않으므로 상체는 정면을 유지합니다.,중,맨몸
Quad Setting,Phase A,"대퇴사두근(특히 내측광근/VMO), 슬개골(무릎뼈) 관절 힘줄","인지, 가동성",다리를 쭉 펴고 앉거나 누운 상태에서 무릎 밑에 수건을 돌돌 말아 넣습니다. 수건을 오금(무릎 뒤쪽)으로 강하게 바닥 방향으로 누른다는 느낌으로 허벅지 앞쪽 근육(대퇴사두근)에 5~10초간 강하게 힘을 주어 수축시킵니다.,허벅지 앞쪽에 힘이 들어가지 않고 발꿈치를 바닥에서 들어 올리거나 발목만 과도하게 꺾는 보상작용이 일어날 수 있습니다. 발꿈치는 바닥에 붙인 채 순수하게 무릎뼈가 위쪽(골반 방향)으로 끌려 올라오는 느낌으로 허벅지 근육만 쥐어짜야 합니다.,하,맨몸
Straight Leg Raise,Phase A,"대퇴직근(Rectus Femoris), 장요근, 복근","안정성, 인지","천장을 보고 바르게 누워 한쪽 무릎은 구부려 발을 바닥에 지지하고, 재활할 다리는 무릎을 완전히 폅니다. 발끝을 몸쪽으로 당긴 상태에서 무릎이 구부러지지 않게 유지하며 반대쪽 무릎 높이까지 다리를 천천히 들어 올렸다가 버티며 내립니다.","다리를 들어 올릴 때 무릎이 미세하게 구부러지거나, 코어의 힘이 부족해 허리가 바닥에서 과도하게 뜨며 활처럼 꺾이는 보상작용이 흔히 발생합니다. 배꼽을 바닥으로 꾹 눌러 허리를 고정(척추 중립)한 상태에서 다리를 통제해야 합니다.",하,맨몸
Glute Bridge,Phase A,"대둔근(Gluteus Maximus), 햄스트링, 첨추기립근, 심부 코어","안정성, 인지",천장을 보고 누워 양 무릅을 구부리고 발을 골반 넓이로 바닥에 둑니다. 발꿈치로 바닥을 강하게 밀어내면서 엉덩이를 천장 방향으로 들어 올립니다. 이때 어깨부터 무릅까지 일직선이 되도록 만듭니다.,"둔근(엉덩이)의 힘이 약하거나 활성화가 안 된 크로스핏터들은 허리를 과도하게 꺾어서(요추 과신전) 높이 올라가려고 합니다. 갈비뼈를 닫고(Rib-cage flare 방지) 복압을 유지한 채, 순수하게 엉덩이를 첨어짜는 힘으로만 골반을 밀어 올려야 허리와 무릅에 부담이 가지 않습니다.",하,맨몸
Clamshell,Phase A,"중둔근 후부 섬유(Gluteus Medius), 고관절 심부 외회전근","인지, 안정성","옆으로 누워 무릅을 90도로 구부리고 양 뒤꿈치를 붙입니다. 골반과 첨추가 뒤로 회전하지 않도록 고정해 둔 상태에서, 조개껋데기가 열리듯 위의 무릅을 천천히 천장 방향으로 들어 올렸다가 돌아옵니다.","무릅을 높이 들려고 할 때 골반 자체가 뒤로 훼런덩 넘어가는 보상작용이 아주 흔하게 일어납니다. 골반은 바닥과 수직을 유지하도록 손으로 단단히 고정하고, 엉덩이 측면 윗부분(중둔근)의 수축력으로만 무릅을 열어주어야 합니다.",하,맨몸
Side-lying Hip Abduction,Phase A,"중둔근(Gluteus Medius), 대퇴근막장근(TFL)","안정성, 근력","옆으로 바르게 누워 아래쪽 다리는 구부려 중심을 잡고, 위쪽 다리는 무릅을 완전히 폕니다. 위쪽 다리의 발끝을 몸쪽으로 당기고, 뒤꿈치가 몸통보다 약간 뒤를 향하게 한 상태에서 다리를 대각선 후상방 느낌으로 들어 올립니다.","다리를 들어 올릴 때 골반이 위로 으씁하며 허리(요방형근)를 과도하게 쓰거나, 다리가 몸보다 앞으로 나가면서 허벅지 옆쪽 근육(대퇴근막장근)만 과활성화되기 쉽습니다. 몸통(허리)를 고정한 채 다리를 뒤꿈치 주도로 올려야 순수 중둔근 강화를 유도할 수 있습니다.",하,맨몸
Bodyweight Romanian Deadlift,Phase A,"대둔근, 햄스트링(슬괴근), 첨추기립근","인지, 가동성","발을 골반 넓이로 서서 무릅은 정체(Lock)되지 않을 정도로만 미세하게 국힙니다. 양손을 허복지 앞에 두고, 엉덩이를 벽 쪽으로 멀리 미다는 느낌으로 체중을 뒤꿈치에 실으며 상체를 숙입니다. 첨추의 정렬을 유지한 채 허복지 뒤쪽(햄스트링)이 팝팝해질 때까지 내려갔다가 엉덩이를 앞으로 밀며 일어납니다.","크로스핏터들이 흔히 범하는 실수는 엉덩이를 뒤로 빼지 않고 상체만 아래로 숙여 허리가 둥글게 말리거나, 반대로 무릅을 과도하게 앞으로 구부려 스쿼트청령 내려가는 보상작용입니다. 무릅의 위치는 발목 바로 위에 고정해 두고 순수하게 고관절 접기(Hip Hinge)로만 움직여야 무릅 전방 관절에 가해지는 부하를 차단할 수 있습니다.",하,맨몸
Box Deadlift,Phase B,"대둔근, 대퇴사두근, 광배근, 첨추기립근","근력, 기능 동작","무릅 높이 정도의 박스나 플레이트 탑 위에 바벨(또는 PVC 파이프)을 올려놓고 세팅합니다. 정석 데드리프트 자세로 셈업하여 바벨을 잡고 엉덩이와 첨추를 단단히 잠근 뒤, 바닥을 밀어내며 일어납니다. 터치 앤 고(Touch-and-go) 동작 시 박스 위에 바벨을 살짝 터치하고 다시 동작을 반복합니다.",바닥에서부터 시작하는 정석 데드리프트는 가동 범위가 깊아 셈업 자세에서 무릅이 앞으로 밀리거나 허리가 말리기 쉭습니다. 박스를 이용해 높이를 높여주면 이러한 보상작용이 급격히 줄어듭니다. 바벨을 들어 올릴 때 정강이에서 바벨이 멀어지면 무릅과 허리에 전단력이 크게 걸리으므로 바벨을 항상 몸에 밀착시켜야 합니다.,중,"바벨, PVC 파이프"
