명칭,Phase,난이도,도구,운동 목적,주의/보상작용,타겟부위,핵심 가이드
Single Leg Hip Flexor Sit Up,Phase B,상,맨몸,"근력, 인지",다리를 들어 올리거나 상체를 세울 때 허리가 과도하게 꺾이는 요추 전만(Lordosis) 보상작용이 일어나지 않도록 코어의 긴장을 유지해야 합니다.,"장요근(Iliopsoas), 대퇴직근(Rectus Femoris), 복직근(Rectus Abdominis)","한쪽 무릎을 굽혀 지지하고 반대쪽 다리를 편 상태에서, 고관절 굴곡근과 복근의 힘을 연결하여 상체를 일으켜 세웁니다"
Hip Flexor Stretch,Phase A,하,맨몸,가동성,"골반을 앞으로 밀 때 허리를 과하게 뒤로 꺾으면 고관절 스트레칭이 아닌 요추 통증을 유발하므로, 둔근(엉덩이)에 힘을 주어 골반 뒤쪽을 단단히 고정해야 합니다.","장요근(Iliopsoas), 대퇴직근(Rectus Femoris)","한쪽 무릎을 바닥에 댄 런지 자세에서 골반을 전방 경사되지 않게 중립으로 잡고, 체중을 앞으로 이동시켜 골반 앞쪽을 늘려줍니다."
Hip Flexor Plank,Phase B,중,맨몸,"안정성, 근력",무릎을 당길 때 엉덩이가 위로 높게 솟구치거나 반대로 골반이 아래로 떨어지지 않도록 머리부터 발끝까지 일직선을 유지해야 합니다.,"장요근(Iliopsoas), 복직근(Rectus Abdominis), 전거근(Serratus Anterior)","플랭크 자세를 유지한 상태에서 한쪽 무릎을 가슴 방향으로 당겨와, 코어의 안정성과 고관절 굴곡근의 등척성/기능적 근력을 동시에 확보합니다."
Hip Flexor Rock Back,Phase A,하,맨몸,"가동성, 인지",엉덩이를 뒤로 밀 때 요추가 동그랗게 말리는 골반 후방 경사(Wink Out/Butt Wink)가 일어나지 않도록 중립 척추를 유지할 수 있는 범위만큼만 움직입니다.,"장요근(Iliopsoas), 둔근(Gluteal Muscles), 고관절 관절낭(Hip Joint Capsule)","네발기기 자세 혹은 한쪽 다리를 옆으로 벌린 자세에서, 척추의 정렬을 유지한 채 엉덩이를 뒤꿈치 쪽으로 천천히 밀어내며 고관절의 굴곡 가동 범위를 확보합니다."
90/90 Stretch,Phase A,중,맨몸,가동성,상체를 숙일 때 허리가 동그랗게 말리면 고관절에 정확한 신장 자극이 가지 않으므로 요추 아치를 유지합니다.,"고관절 외회전근, 심부이상근, 내회전근","바닥에 앉아 앞다리는 90도 외회전, 뒷다리는 90도 내회전 형태로 정렬한 뒤 척추를 편 상태로 상체를 앞으로 숙여줍니다."
Sidelying Abduction,Phase A,하,맨몸,"근력, 안정성",다리를 올릴 때 골반이 위로 으쓱하며 요방형근(허리)이 개입하거나 다리가 몸보다 앞으로 나가지 않도록 뒤꿈치 방향으로 들어 올립니다.,중둔근,"옆으로 바르게 누워 아래쪽 다리는 구부려 중심을 잡고, 위쪽 다리는 무릎을 편 상태에서 천장 방향으로 들어 올립니다."
Single Leg Hip Hinge,Phase B,상,맨몸,"기능 동작, 안정성","골반이 한쪽으로 회전하며 열리거나, 무릎이 과도하게 앞으로 구부러지며 주저앉지 않도록 주의해야 합니다.","대둔근, 햄스트링, 코어 안정화 근육군","한 발로 서서 척추의 정렬을 유지한 채 골반을 뒤로 접으며 상체를 숙였다가, 엉덩이 힘으로 다리를 밀어내며 제자리로 돌아옵니다."
Deep Squat Rotation,Phase A,중,맨몸,가동성,상체를 회전할 때 발꿈치가 바닥에서 뜨거나 무릎이 안쪽으로 무너지지 않도록 하체를 단단히 고정해야 합니다.,"흉추, 고관절 외회전근, 발목 가자미근","딥 스쿼트(쪼그려 앉은) 자세를 유지한 상태에서, 한 손으로 바닥이나 발목을 지지하고 반대 전완과 상체를 천장 방향으로 크게 회전시킵니다."
Open Half Kneeling Shift,Phase A,하,맨몸,"가동성, 인지",체중을 이동할 때 상체가 앞으로 숙여지거나 골반이 뒤로 빠지지 않도록 척추 중립을 수직으로 유지해야 합니다.,"내전근(허벅지 안쪽), 고관절 관절낭, 발목 관절","한쪽 무릎을 꿇은 상태에서 반대쪽 다리를 옆으로 열어(Open) 딛고, 체중을 디딘 발 방향으로 수평 이동시켜 허벅지 안쪽과 고관절을 늘려줍니다."
Straight Leg Raise,Phase A,하,맨몸,"안정성, 인지","다리를 들어 올릴 때 무릎이 미세하게 구부러지거나, 코어의 힘이 부족해 허리가 바닥에서 과도하게 뜨며 활처럼 꺾이는 보상작용이 흔히 발생합니다. 배꼽을 바닥으로 꾹 눌러 허리를 고정(척추 중립)한 상태에서 다리를 통제해야 합니다.","대퇴직근(Rectus Femoris), 장요근, 복근","천장을 보고 바르게 누워 한쪽 무릎은 구부려 발을 바닥에 지지하고, 재활할 다리는 무릎을 완전히 폅니다. 발끝을 몸쪽으로 당긴 상태에서 무릎이 구부러지지 않게 유지하며 반대쪽 무릎 높이까지 다리를 천천히 들어 올렸다가 버티며 내립니다."
