명칭,Phase,타겟부위,운동 목적,핵심 가이드,주의/보상작용,난이도,도구
Core Bracing,Phase A,"복횡근, 골반저근, 다열근","인지, 안정성","복부에 힘을 주어 단단하게 만들되, 숨을 참지 않고 자연스럽게 호흡하며 척추 주변 심부 근육의 압력을 유지합니다.","배를 들이마시는 것(Hollowing)이 아니라 배 전체를 팽팽하게 밀어내는 느낌을 유지해야 하며, 갈비뼈가 들리지 않게 합니다.",하,맨몸
Bird Dog,Phase A,"척추기립근, 대둔근, 다열근, 코어","안정성, 인지",네발기기 자세에서 척추 중립을 유지하며 한쪽 팔과 반대쪽 다리를 바닥과 평행이 되도록 일직선으로 뻗어줍니다.,팔다리를 올릴 때 골반이 한쪽으로 기울어지거나 허리가 아래로 꺾이지 않도록 코어로 통제해야 합니다.,중,맨몸
Dead Bug,Phase A,"복직근, 복횡근, 장요근","안정성, 인지","천장을 보고 누워 팔다리를 들어 올린 후, 허리가 바닥에서 뜨지 않도록 유지하며 서로 반대되는 팔과 다리를 교차하여 바닥 방향으로 내립니다.",다리가 바닥에 가까워질 때 복부의 힘이 풀려 허리가 바닥에서 떨어지면 안 됩니다.,하,맨몸
Cat-Camel,Phase A,척추 전체 전연부 근육 및 기립근,가동성,"네발기기 자세에서 호흡을 내쉬며 등과 허리를 둥글게 말아 올렸다가, 다시 호흡을 마시며 척추를 부드럽게 아래로 떨어뜨립니다.",특정 한 부위(특히 요추)만 과도하게 꺾이지 않도록 경추부터 미골까지 전체 척추가 고르게 움직이도록 합니다.,하,맨몸
Plank,Phase B,"복직근, 복횡근, 전거근, 대퇴사두근","안정성, 근력","엎드려 전완과 발끝으로 체중을 지지하고 머리, 척추, 골반, 뒤꿈치가 일직선이 되도록 버팁니다.","시간이 지나면서 힘이 빠져 엉덩이가 위로 솟거나, 반대로 골반이 바닥으로 처져 허리에 과부하가 걸리지 않도록 합니다.",중,맨몸
Side Plank,Phase B,"요방형근, 내외복사근, 중둔근","안정성, 근력",옆으로 누워 팔꿈치로 바닥을 지지하고 골반을 들어 올려 몸 측면 라인이 일직선이 되도록 유지합니다.,"골반이 뒤로 빠지거나 아래로 처지지 않아야 하며, 지지하는 어깨가 으쓱하며 무너지지 않게 바닥을 밀어냅니다.",중,맨몸
Deep Squat Rotation,Phase A,"흉추 관절, 고관절 외회전근, 발목 가자미근",가동성,"딥 스쿼트(쪼그려 앉은) 자세를 유지한 상태에서, 한 손으로 바닥이나 발목을 지지하고 반대 전완과 상체를 천장 방향으로 크게 회전시킵니다.",상체를 회전할 때 발꿈치가 바닥에서 뜨거나 무릎이 안쪽으로 무너지지 않도록 하체를 단단히 고정해야 합니다.,중,맨몸
Kneeling Halo,Phase B,"회전근개, 전거근, 코어 근육군(복횡근/다열근)","안정성, 인지","무릎을 꿇은 자세(Kneeling)에서 케틀벨이나 덤벨을 거꾸로 들고, 머리 주위로 후광(Halo)을 그리듯 360도 천천히 회전시킵니다.",중량물이 머리 뒤를 통과할 때 허리가 과도하게 꺾이거나 목이 앞으로 마중 나가지 않도록 코어와 둔근을 단단히 쥐어짜야 합니다.,중,덤벨
Kneeling Front Cast,Phase B,"전면삼각근, 전거근, 악력 및 전완근, 코어","근력, 기능 동작",무릎을 꿇은 정렬에서 클럽벨이나 가벼운 저항 도구를 사용해 가슴 앞으로 던지듯 밀어내며 상체 후방 사슬과의 협응을 유도합니다.,무게를 앞으로 밀어낼 때 상체가 뒤로 눕거나 엉덩이가 뒤로 빠지는 보상작용을 막기 위해 머리부터 무릎까지 수직 정렬을 통제합니다.,상,덤벨
Banded Negative Upward Rotation,Phase B,"하부 승모근(Lower Trapezius), 전거근, 능형근, 심부 코어근육",근력,"밴드의 저항을 이용해 팔을 위로 올려 견갑골을 상방 회전(Upward Rotation)시킨 후, 시작 자세로 돌아올 때 중력과 밴드의 탄성에 툭 떨어지지 않게 '천천히 버티면서(Negative/편심성 제어)' 팔을 내립니다.","팔을 내리는 감속 단계(Negative Phase)에서 통제를 잃고 팔이 빠르게 떨어지면 회전근개와 견갑골 주변 안정화 근육의 재활 효과가 급격히 떨어지며, 부하를 버티는 과정에서 허리가 과도하게 꺾이지 않도록 복압을 강하게 유지해야 합니다.",중,밴드
