명칭,Phase,난이도,도구,운동 목적,주의/보상작용,타겟부위,핵심 가이드
Prone Shoulder Slides,Phase A,하,맨몸,안정성,팔을 위로 올릴 때 어깨가 으쓱하면서 목(상부 승모근)에 과도한 힘이 들어가지 않도록 주의하세요.,"하부 승모근, 능형근",바닥에 엎드려 W 자세에서 Y 자세로 팔을 위로 밀어 올리며 날개뼈를 움직입니다.
Half Kneeling Face Pull,Phase B,중,밴드,근력,"당길 때 고개가 앞으로 마중 나가거나, 허리가 과도하게 뒤로 꺾이지 않도록 코어를 잡으세요.","후면 삼각근, 회전근개, 코어",한쪽 무릎을 꿇은 상태에서 밴드나 케이블을 얼굴(눈높이) 방향으로 당겨 어깨 후면을 강화합니다.
Kick Through,Phase B,상,맨몸,안정성,땅을 지지하고 있는 어깨가 힘없이 무너지거나 귀와 가까워지지 않도록 땅을 강하게 밀어내야 합니다.,"전거근, 삼각근, 전신 코어","네발기기 자세에서 몸통을 돌리며 다리를 반대편으로 차내고, 한쪽 어깨로 체중을 지지합니다."
Pike Push Ups,Phase B,상,맨몸,근력,"머리가 수직으로 떨어지면 손목과 어깨 충돌을 유발하므로, 머리가 손보다 앞쪽 손끝을 향해 내려가야 합니다.","전면 삼각근, 상부 승모근, 삼두근",엉덩이를 높이 든 숏(ㅅ)자 자세에서 대각선 아래 방향으로 푸쉬업을 하며 어깨 근력을 키웁니다.
Band Shoulder External Rotation,Phase A,하,밴드,"인지, 안정성",회전할 때 팔꿈치가 옆구리에서 떨어지거나 어깨 전면이 앞으로 말려 나가지 않도록 제한합니다.,"극하근, 소원근(회전근개 후면)",팔꿈치를 옆구리에 90도로 고정한 상태에서 밴드를 잡고 전완을 바깥쪽으로 천천히 회전시킵니다.
Scapular Setting,Phase A,하,맨몸,"인지, 안정성",날개뼈를 모을 때 가슴을 과도하게 내밀며 허리를 꺾거나 어깨가 위로 으쓱하지 않도록 제어합니다.,"능형근, 하부승모근, 전거근",양 날개뼈(견갑골)를 척추 방향으로 가볍게 모은 뒤 아래로 끌어내려 바른 위치에 고정하는 감각을 익힙니다.
Thoracic Rotation Stretch,Phase A,하,맨몸,가동성,상체가 돌아갈 때 고정해 둔 무릎과 골반이 바닥에서 떨어져 따라가지 않도록 단단히 누릅니다.,"흉추, 대흉근, 전거근","옆으로 누워 무릎을 구부려 고정한 뒤, 위쪽 팔을 반대편으로 크게 넘기며 등뼈(흉추)를 회전시킵니다."
Pendulum Exercise (Codman's),Phase A,하,맨몸,가동성,"어깨 근육을 사용해 팔을 능동적으로 돌리는 것이 아니라, 상체의 반동을 이용해 팔이 수동적으로 흔들리게 해야 합니다.","어깨 관절낭, 회전근개 전체","튼튼한 의자나 테이블에 한 손을 지지하고 상체를 숙인 뒤, 힘을 뺀 아픈 쪽 팔을 중력에 맡겨 시계추처럼 전후좌우로 부드럽게 흔들어줍니다."
Band Pull-Apart,Phase B,하,밴드,"근력, 안정성","밴드를 당길 때 목이 앞으로 나오거나(거북목 모양), 승모근이 과도하게 솟아오르지 않도록 내리누릅니다.","후면삼각근, 능형근, 중부승모근","양손으로 밴드를 앞으로 나란히 하여 잡고, 날개뼈를 모으면서 양옆으로 밴드를 팽팽하게 찢듯이 늘려줍니다."
Inverted Row,Phase B,중,바,"기능 동작, 근력",당길 때 어깨가 앞으로 말리는 둥근 어깨(Round Shoulder) 형태가 되지 않도록 가슴을 활짝 열어줍니다.,"광배근, 능형근, 중하부승모근, 상완이두근","낮은 바(Bar) 아래에 누워 바를 잡고, 몸통을 일직선으로 유지한 채 가슴을 바 쪽으로 당겨 올립니다."
Horizontal Abduction,Phase B,하,맨몸,"근력, 안정성","팔을 뒤로 보낼 때 날개뼈를 과도하게 으쓱하며 접거나, 허리를 앞으로 내밀며 꺾지 않도록 주의합니다.","후면삼각근, 극하근, 소원근, 중부승모근",팔을 가슴 앞으로 모은 상태에서 저항을 이겨내며 양옆으로 수평하게 벌려 어깨 후면을 수축시킵니다.
Single Arm Pike,Phase B,상,맨몸,"안정성, 근력","체중을 지지하는 어깨가 힘없이 무너져 귀와 가까워지거나, 골반이 한쪽으로 심하게 돌아가지 않도록 통제해야 합니다.","전거근, 전면삼각근, 상부승모근, 코어",엉덩이를 높이 든 ㅅ자(Pike) 자세에서 한 손으로 바닥을 강하게 밀어내며 전신의 정렬과 견갑골의 안정성을 유지합니다.
D2 Flexion (PNF Pattern),Phase B,중,맨몸,"인지, 기능 동작","단순한 팔 올리기가 아닌 고관절-코어-어깨로 이어지는 대각선 사슬 회전 연동이므로, 몸통이 과도하게 꺾이거나 어깨 으쓱임이 선행되지 않도록 합니다.","전면/측면삼각근, 회전근개(극상근), 전거근, 상부승모근","반대쪽 골반 앞에서 검을 뽑듯이 손을 쥐고 시작하여, 대각선 위 방향으로 손바닥을 열며 팔을 길게 뻗어 올립니다."
Wall Clock,Phase A,중,맨몸,"안정성, 인지",벽을 지지하고 있는 팔의 팔꿈치가 구부러지거나 날개뼈가 등 뒤로 튀어나오지(익상견갑 형태) 않도록 벽을 계속 밀어내야 합니다.,"전거근, 회전근개, 삼각근","벽에 루프 밴드를 감은 양손을 대고, 한쪽 손으로 벽을 밀어 고정한 채 반대쪽 손을 시계 바늘 방향(12시, 3시, 6시 등)으로 움직이며 저항을 버팁니다."
Kneeling Halo,Phase B,중,덤벨,"안정성, 인지",중량물이 머리 뒤를 통과할 때 허리가 과도하게 꺾이거나 목이 앞으로 마중 나가지 않도록 코어와 둔근을 단단히 쥐어짜야 합니다.,"회전근개, 전거근, 코어 근육군(복횡근/다열근)","무릎을 꿇은 자세(Kneeling)에서 케틀벨이나 덤벨을 거꾸로 들고, 머리 주위로 후광(Halo)을 그리듯 360도 천천히 회전시킵니다."
Kneeling Front Cast,Phase B,상,덤벨,"근력, 기능 동작",무게를 앞으로 밀어낼 때 상체가 뒤로 눕거나 엉덩이가 뒤로 빠지는 보상작용을 막기 위해 머리부터 무릎까지 수직 정렬을 통제합니다.,"전면삼각근, 전거근, 악력 및 전완근, 코어",무릎을 꿇은 정렬에서 클럽벨이나 가벼운 저항 도구를 사용해 가슴 앞으로 던지듯 밀어내며 상체 후방 사슬과의 협응을 유도합니다.
Foam Roller Wall Slide,Phase B," 중
",맨몸(폼롤러),"안정성, 기능 동작","롤러를 위로 밀 때 어깨 근육의 힘이 부족하면 상부 승모근이 과도하게 개입해 어깨가 귀 쪽으로 으쓱하게 되므로, 날개뼈를 아래로 누른 채 전거근의 힘으로만 밀어 올려야 합니다.","전거근(Serratus Anterior), 하부 승모근, 회전근개","벽에 폼롤러를 대고 전완을 11자로 올려놓은 뒤, 전완으로 폼롤러를 벽 방향으로 강하게 밀어내면서(견갑골 전인) 위로 천천히 굴려 올려줍니다."
